,model,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
143,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-none,329.8833,$\times$,independent,True,True,None,None
144,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-distance-dependent,356.8787,$\times$,comparative,False,False,Constant,Distance
145,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-free,366.5112,$\times$,comparative,False,False,Constant,Constant
146,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-gaze-dependent,343.8805,$\times$,comparative,False,False,Constant,Gaze
147,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-none,361.1576,$\times$,comparative,False,False,Constant,None
148,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-distance-dependent,350.4407,$\times$,comparative,False,False,Gaze,Distance
149,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-free,342.1573,$\times$,comparative,False,False,Gaze,Constant
150,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,340.6167,$\times$,comparative,False,False,Gaze,Gaze
151,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-none,339.3587,$\times$,comparative,False,False,Gaze,None
152,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-distance-dependent,420.4811,$\times$,comparative,False,False,None,Distance
153,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-free,382.7283,$\times$,comparative,False,False,None,Constant
154,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-gaze-dependent,380.9221,$\times$,comparative,False,False,None,Gaze
155,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-none,376.492,$\times$,comparative,False,False,None,None
156,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,241.4035,$\times$,comparative,False,True,Constant,Distance
157,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-free,236.9815,$\times$,comparative,False,True,Constant,Constant
158,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-gaze-dependent,236.7485,$\times$,comparative,False,True,Constant,Gaze
159,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-none,231.564,$\times$,comparative,False,True,Constant,None
160,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-distance-dependent,258.6616,$\times$,comparative,False,True,Gaze,Distance
161,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-free,243.433,$\times$,comparative,False,True,Gaze,Constant
162,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,243.6308,$\times$,comparative,False,True,Gaze,Gaze
163,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-none,238.4078,$\times$,comparative,False,True,Gaze,None
164,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-distance-dependent,386.3619,$\times$,comparative,False,True,None,Distance
165,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-free,330.3219,$\times$,comparative,False,True,None,Constant
166,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-gaze-dependent,330.3219,$\times$,comparative,False,True,None,Gaze
167,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-none,324.9058,$\times$,comparative,False,True,None,None
168,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-distance-dependent,351.8707,$\times$,comparative,True,False,Constant,Distance
169,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-free,371.6076,$\times$,comparative,True,False,Constant,Constant
170,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-gaze-dependent,348.9142,$\times$,comparative,True,False,Constant,Gaze
171,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-none,366.1632,$\times$,comparative,True,False,Constant,None
172,sb_int-multiplicative_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-distance-dependent,344.4773,$\times$,comparative,True,False,Gaze,Distance
